"filename", "language", "C++", "C", "Markdown", "CSV", "Python", "comment", "blank", "total"
"d:\workstation\VSCode_for_c\c_programming\Experimentation Six Stack Implementation and Expression Calculation\stack.h", "C++", 25, 0, 0, 0, 0, 0, 1, 26
"d:\workstation\VSCode_for_c\c_programming\OralEnglish_2021_11_4\SpokenEnglish.md", "Markdown", 0, 0, 3, 0, 0, 0, 3, 6
"d:\workstation\VSCode_for_c\c_programming\README.md", "Markdown", 0, 0, 3, 0, 0, 0, 1, 4
"d:\workstation\VSCode_for_c\c_programming\algorithm\calculator.c", "C", 0, 12, 0, 0, 0, 0, 1, 13
"d:\workstation\VSCode_for_c\c_programming\algorithm\full_memery.c", "C", 0, 14, 0, 0, 0, 0, 1, 15
"d:\workstation\VSCode_for_c\c_programming\algorithm\hanoit.cpp", "C++", 25, 0, 0, 0, 0, 5, 2, 32
"d:\workstation\VSCode_for_c\c_programming\algorithm\sqstack.c", "C", 0, 37, 0, 0, 0, 4, 1, 42
"d:\workstation\VSCode_for_c\c_programming\algorithm\sqstack.h", "C++", 16, 0, 0, 0, 0, 0, 3, 19
"d:\workstation\VSCode_for_c\c_programming\algorithm\二分查找.c", "C", 0, 57, 0, 0, 0, 0, 0, 57
"d:\workstation\VSCode_for_c\c_programming\algorithm\埃拉托斯特质数筛.c", "C", 0, 30, 0, 0, 0, 1, 3, 34
"d:\workstation\VSCode_for_c\c_programming\algorithm\希尔排序.cpp", "C++", 48, 0, 0, 0, 0, 2, 3, 53
"d:\workstation\VSCode_for_c\c_programming\algorithm\归并sort迭代.h", "C++", 7, 0, 0, 0, 0, 0, 0, 7
"d:\workstation\VSCode_for_c\c_programming\algorithm\改进插入(选择)排序.h", "C++", 24, 0, 0, 0, 0, 6, 1, 31
"d:\workstation\VSCode_for_c\c_programming\algorithm\逆波兰表达式.c", "C", 0, 0, 0, 0, 0, 0, 1, 1
"d:\workstation\VSCode_for_c\c_programming\genericity泛型\堆栈的泛型模拟.c", "C", 0, 9, 0, 0, 0, 1, 2, 12
"d:\workstation\VSCode_for_c\c_programming\leetcode\101. Symmetric Tree.c", "C", 0, 19, 0, 0, 0, 9, 2, 30
"d:\workstation\VSCode_for_c\c_programming\leetcode\13. Roman to Intege.c", "C", 0, 51, 0, 0, 0, 0, 1, 52
"d:\workstation\VSCode_for_c\c_programming\leetcode\14. Longest Common Prefix.c", "C", 0, 47, 0, 0, 0, 0, 2, 49
"d:\workstation\VSCode_for_c\c_programming\leetcode\1734. Decode XORed Permutation.c", "C", 0, 29, 0, 0, 0, 4, 1, 34
"d:\workstation\VSCode_for_c\c_programming\leetcode\1_hash.c", "C", 0, 82, 0, 0, 0, 5, 1, 88
"d:\workstation\VSCode_for_c\c_programming\leetcode\2.c", "C", 0, 99, 0, 0, 0, 7, 6, 112
"d:\workstation\VSCode_for_c\c_programming\leetcode\20. Valid Parentheses.c", "C", 0, 84, 0, 0, 0, 1, 7, 92
"d:\workstation\VSCode_for_c\c_programming\leetcode\203.c", "C", 0, 78, 0, 0, 0, 1, 2, 81
"d:\workstation\VSCode_for_c\c_programming\leetcode\204 countPrimes.c", "C", 0, 28, 0, 0, 0, 0, 1, 29
"d:\workstation\VSCode_for_c\c_programming\leetcode\205.c", "C", 0, 29, 0, 0, 0, 8, 0, 37
"d:\workstation\VSCode_for_c\c_programming\leetcode\206.c", "C", 0, 29, 0, 0, 0, 35, 0, 64
"d:\workstation\VSCode_for_c\c_programming\leetcode\21.合并两个有序链表.cpp", "C++", 38, 0, 0, 0, 0, 7, 1, 46
"d:\workstation\VSCode_for_c\c_programming\leetcode\237. Delete Node in a Linked List.c", "C", 0, 52, 0, 0, 0, 7, 2, 61
"d:\workstation\VSCode_for_c\c_programming\leetcode\3.c", "C", 0, 31, 0, 0, 0, 0, 1, 32
"d:\workstation\VSCode_for_c\c_programming\leetcode\367. Valid Perfect Square.c", "C", 0, 32, 0, 0, 0, 0, 2, 34
"d:\workstation\VSCode_for_c\c_programming\leetcode\407. Trapping Rain Water II.c", "C", 0, 3, 0, 0, 0, 0, 0, 3
"d:\workstation\VSCode_for_c\c_programming\leetcode\575.distributeCandies.c", "C", 0, 33, 0, 0, 0, 0, 1, 34
"d:\workstation\VSCode_for_c\c_programming\leetcode\7.Reverse Integer.c", "C", 0, 23, 0, 0, 0, 0, 1, 24
"d:\workstation\VSCode_for_c\c_programming\leetcode\9.Palindrome Number.c", "C", 0, 35, 0, 0, 0, 0, 2, 37
"d:\workstation\VSCode_for_c\c_programming\leetcode\94. Binary Tree Inorder Traversal.c", "C", 0, 74, 0, 0, 0, 11, 4, 89
"d:\workstation\VSCode_for_c\c_programming\leetcode\print.cpp", "C++", 6, 0, 0, 0, 0, 0, 0, 6
"d:\workstation\VSCode_for_c\c_programming\leetcode\timeOut\205太慢了不能过.c", "C", 0, 29, 0, 0, 0, 0, 0, 29
"d:\workstation\VSCode_for_c\c_programming\leetcode\timeOut\206太慢了不能过.c", "C", 0, 29, 0, 0, 0, 0, 1, 30
"d:\workstation\VSCode_for_c\c_programming\leetcode\timeOut\575.distributeCandies超时.c", "C", 0, 53, 0, 0, 0, 1, 0, 54
"d:\workstation\VSCode_for_c\c_programming\list\Singly_linked_list\creat_printList.h", "C++", 43, 0, 0, 0, 0, 0, 1, 44
"d:\workstation\VSCode_for_c\c_programming\list\Singly_linked_list\create_and_delet.c", "C", 0, 69, 0, 0, 0, 3, 5, 77
"d:\workstation\VSCode_for_c\c_programming\list\Singly_linked_list\delet_note.h", "C++", 34, 0, 0, 0, 0, 1, 4, 39
"d:\workstation\VSCode_for_c\c_programming\list\Singly_linked_list\help.c", "C", 0, 78, 0, 0, 0, 0, 4, 82
"d:\workstation\VSCode_for_c\c_programming\list\Singly_linked_list\list_head.h", "C++", 73, 0, 0, 0, 0, 2, 7, 82
"d:\workstation\VSCode_for_c\c_programming\list\Singly_linked_list\list_reverse.c", "C", 0, 22, 0, 0, 0, 2, 2, 26
"d:\workstation\VSCode_for_c\c_programming\list\Singly_linked_list\list_sort.h", "C++", 31, 0, 0, 0, 0, 3, 2, 36
"d:\workstation\VSCode_for_c\c_programming\list\Singly_linked_list\创建链表.c", "C", 0, 60, 0, 0, 0, 2, 1, 63
"d:\workstation\VSCode_for_c\c_programming\list\Singly_linked_list\删除链表重复元素.c", "C", 0, 83, 0, 0, 0, 2, 8, 93
"d:\workstation\VSCode_for_c\c_programming\list\Singly_linked_list\快慢指针查中点.h", "C++", 13, 0, 0, 0, 0, 1, 1, 15
"d:\workstation\VSCode_for_c\c_programming\list\Singly_linked_list\结构体.c", "C", 0, 32, 0, 0, 0, 11, 3, 46
"d:\workstation\VSCode_for_c\c_programming\list\Singly_linked_list\链表反转.c", "C", 0, 78, 0, 0, 0, 3, 6, 87
"d:\workstation\VSCode_for_c\c_programming\list\Singly_linked_list\链表插入.c", "C", 0, 42, 0, 0, 0, 2, 5, 49
"d:\workstation\VSCode_for_c\c_programming\list\Singly_linked_list\链表插入最终优化.c", "C", 0, 26, 0, 0, 0, 2, 1, 29
"d:\workstation\VSCode_for_c\c_programming\list\Singly_linked_list\链表插入特殊处理.c", "C", 0, 28, 0, 0, 0, 2, 1, 31
"d:\workstation\VSCode_for_c\c_programming\list\双向链表\双向链表插入极简版.c", "C", 0, 28, 0, 0, 0, 0, 4, 32
"d:\workstation\VSCode_for_c\c_programming\list\双向链表\双向链表插入简明版.c", "C", 0, 51, 0, 0, 0, 3, 3, 57
"d:\workstation\VSCode_for_c\c_programming\list\双向链表\双链表的插入.c", "C", 0, 35, 0, 0, 0, 13, 3, 51
"d:\workstation\VSCode_for_c\c_programming\tests_for_grammer\MM.c", "C", 0, 27, 0, 0, 0, 0, 2, 29
"d:\workstation\VSCode_for_c\c_programming\tests_for_grammer\MM2.c", "C", 0, 27, 0, 0, 0, 0, 3, 30
"d:\workstation\VSCode_for_c\c_programming\tests_for_grammer\backup.c", "C", 0, 164, 0, 0, 0, 13, 5, 182
"d:\workstation\VSCode_for_c\c_programming\tests_for_grammer\ccfpolan.cpp", "C++", 177, 0, 0, 0, 0, 13, 6, 196
"d:\workstation\VSCode_for_c\c_programming\tests_for_grammer\help.c", "C", 0, 10, 0, 0, 0, 7, 2, 19
"d:\workstation\VSCode_for_c\c_programming\tests_for_grammer\leetcode14test.c", "C", 0, 47, 0, 0, 0, 0, 2, 49
"d:\workstation\VSCode_for_c\c_programming\tests_for_grammer\new.c", "C", 0, 175, 0, 0, 0, 13, 7, 195
"d:\workstation\VSCode_for_c\c_programming\tests_for_grammer\new2.c", "C", 0, 164, 0, 0, 0, 13, 5, 182
"d:\workstation\VSCode_for_c\c_programming\tests_for_grammer\test.py", "Python", 0, 0, 0, 0, 26, 0, 5, 31
"d:\workstation\VSCode_for_c\c_programming\tree\Tree_Traversal(Inorder Preorder Postorder).c", "C", 0, 55, 0, 0, 0, 0, 5, 60
"d:\workstation\VSCode_for_c\c_programming\tree\tree_api.h", "C++", 4, 0, 0, 0, 0, 3, 1, 8
"d:\workstation\VSCode_for_c\c_programming\tree\tree_array.c", "C", 0, 64, 0, 0, 0, 7, 3, 74
"d:\workstation\VSCode_for_c\c_programming\tree\动态链式二叉树.c", "C", 0, 50, 0, 0, 0, 3, 1, 54
"d:\workstation\VSCode_for_c\c_programming\动态分配\memory_give_out\11.2动态分配缓冲区.c", "C", 0, 18, 0, 0, 0, 3, 1, 22
"d:\workstation\VSCode_for_c\c_programming\动态分配\memory_give_out\11.a.c", "C", 0, 14, 0, 0, 0, 2, 0, 16
"d:\workstation\VSCode_for_c\c_programming\动态分配\memory_give_out\alloc.h", "C++", 3, 0, 0, 0, 0, 1, 0, 4
"d:\workstation\VSCode_for_c\c_programming\动态分配\memory_give_out\check_memory_fault.c", "C", 0, 0, 0, 0, 0, 0, 1, 1
"d:\workstation\VSCode_for_c\c_programming\动态分配\memory_give_out\memory_check_real.c", "C", 0, 13, 0, 0, 0, 2, 3, 18
"d:\workstation\VSCode_for_c\c_programming\动态分配\memory_give_out\内存分配实例.c", "C", 0, 42, 0, 0, 0, 4, 2, 48
"d:\workstation\VSCode_for_c\c_programming\动态分配\存货系统\invcreat.c", "C", 0, 26, 0, 0, 0, 7, 1, 34
"d:\workstation\VSCode_for_c\c_programming\动态分配\存货系统\invdelet.c", "C", 0, 20, 0, 0, 0, 2, 1, 23
"d:\workstation\VSCode_for_c\c_programming\动态分配\存货系统\inventor.h", "C++", 29, 0, 0, 0, 0, 4, 2, 35
"d:\workstation\VSCode_for_c\c_programming\堆栈\stack.h", "C++", 6, 0, 0, 0, 0, 3, 6, 15
"d:\workstation\VSCode_for_c\c_programming\堆栈\stack_malloc.c", "C", 0, 48, 0, 0, 0, 2, 8, 58
"d:\workstation\VSCode_for_c\c_programming\堆栈\stack_malloc.h", "C++", 8, 0, 0, 0, 0, 5, 7, 20
"d:\workstation\VSCode_for_c\c_programming\堆栈\static_stack.c", "C", 0, 61, 0, 0, 0, 7, 11, 79
"d:\workstation\VSCode_for_c\c_programming\堆栈\链表实现堆栈正规方式.c", "C", 0, 72, 0, 0, 0, 1, 15, 88
"d:\workstation\VSCode_for_c\c_programming\实验四、五 链表的实现和应用\list_header.h", "C++", 490, 0, 0, 0, 0, 41, 27, 558
"d:\workstation\VSCode_for_c\c_programming\实验四、五 链表的实现和应用\main.c", "C", 0, 20, 0, 0, 0, 0, 1, 21
"d:\workstation\VSCode_for_c\c_programming\实验四、五 链表的实现和应用\polyCalculator.c", "C", 0, 171, 0, 0, 0, 0, 2, 173
"d:\workstation\VSCode_for_c\c_programming\简单链表实验作业\list_header.h", "C++", 143, 0, 0, 0, 0, 2, 9, 154
"d:\workstation\VSCode_for_c\c_programming\简单链表实验作业\list_insertnddelet.c", "C", 0, 74, 0, 0, 0, 0, 3, 77
"d:\workstation\VSCode_for_c\c_programming\队列\queue_api.h", "C++", 8, 0, 0, 0, 0, 6, 1, 15
"d:\workstation\VSCode_for_c\c_programming\队列\静态数组实现队列.c", "C", 0, 32, 0, 0, 0, 3, 4, 39
"d:\workstation\VSCode_for_c\c_programming\顺序表实验\sequenceList.c", "C", 0, 106, 0, 0, 0, 0, 2, 108
"d:\workstation\VSCode_for_c\c_programming\顺序表实验\sequenceTable.h", "C++", 174, 0, 0, 0, 0, 1, 2, 177
"Total", "-", 2581, 3644, 143, 95, 26, 522, 367, 7378
