"filename", "language", "C", "C++", "Markdown", "Python", "comment", "blank", "total"
"d:\workstation\VSCode_for_c\c_programming\list\双向链表\双向链表插入简明版.c", "C", 51, 0, 0, 0, 3, 3, 57
"d:\workstation\VSCode_for_c\c_programming\list\双向链表\双链表的插入.c", "C", 35, 0, 0, 0, 13, 3, 51
"d:\workstation\VSCode_for_c\c_programming\tests_for_grammer\MM.c", "C", 27, 0, 0, 0, 0, 2, 29
"d:\workstation\VSCode_for_c\c_programming\tests_for_grammer\MM2.c", "C", 27, 0, 0, 0, 0, 3, 30
"d:\workstation\VSCode_for_c\c_programming\tests_for_grammer\backup.c", "C", 164, 0, 0, 0, 13, 5, 182
"d:\workstation\VSCode_for_c\c_programming\tests_for_grammer\ccfpolan.cpp", "C++", 0, 177, 0, 0, 13, 6, 196
"d:\workstation\VSCode_for_c\c_programming\tests_for_grammer\help.c", "C", 10, 0, 0, 0, 7, 2, 19
"d:\workstation\VSCode_for_c\c_programming\tests_for_grammer\leetcode14test.c", "C", 47, 0, 0, 0, 0, 2, 49
"d:\workstation\VSCode_for_c\c_programming\tests_for_grammer\new.c", "C", 175, 0, 0, 0, 13, 7, 195
"d:\workstation\VSCode_for_c\c_programming\tests_for_grammer\new2.c", "C", 164, 0, 0, 0, 13, 5, 182
"d:\workstation\VSCode_for_c\c_programming\tests_for_grammer\test.py", "Python", 0, 0, 0, 26, 0, 5, 31
"d:\workstation\VSCode_for_c\c_programming\tree\tree_api.h", "C++", 0, 4, 0, 0, 3, 1, 8
"d:\workstation\VSCode_for_c\c_programming\tree\tree_array.c", "C", 64, 0, 0, 0, 7, 2, 73
"d:\workstation\VSCode_for_c\c_programming\tree\动态链式二叉树.c", "C", 50, 0, 0, 0, 3, 1, 54
"d:\workstation\VSCode_for_c\c_programming\动态分配\memory_give_out\11.2动态分配缓冲区.c", "C", 18, 0, 0, 0, 3, 1, 22
"d:\workstation\VSCode_for_c\c_programming\动态分配\memory_give_out\11.a.c", "C", 14, 0, 0, 0, 2, 0, 16
"d:\workstation\VSCode_for_c\c_programming\动态分配\memory_give_out\alloc.h", "C++", 0, 3, 0, 0, 1, 0, 4
"d:\workstation\VSCode_for_c\c_programming\动态分配\memory_give_out\check_memory_fault.c", "C", 0, 0, 0, 0, 0, 1, 1
"d:\workstation\VSCode_for_c\c_programming\动态分配\memory_give_out\memory_check_real.c", "C", 13, 0, 0, 0, 2, 3, 18
"d:\workstation\VSCode_for_c\c_programming\动态分配\memory_give_out\内存分配实例.c", "C", 42, 0, 0, 0, 4, 2, 48
"d:\workstation\VSCode_for_c\c_programming\动态分配\存货系统\invcreat.c", "C", 26, 0, 0, 0, 7, 1, 34
"d:\workstation\VSCode_for_c\c_programming\动态分配\存货系统\invdelet.c", "C", 20, 0, 0, 0, 2, 1, 23
"d:\workstation\VSCode_for_c\c_programming\动态分配\存货系统\inventor.h", "C++", 0, 29, 0, 0, 4, 2, 35
"d:\workstation\VSCode_for_c\c_programming\堆栈\stack.h", "C++", 0, 6, 0, 0, 3, 6, 15
"d:\workstation\VSCode_for_c\c_programming\堆栈\stack_malloc.c", "C", 48, 0, 0, 0, 2, 8, 58
"d:\workstation\VSCode_for_c\c_programming\堆栈\stack_malloc.h", "C++", 0, 8, 0, 0, 5, 7, 20
"d:\workstation\VSCode_for_c\c_programming\堆栈\static_stack.c", "C", 61, 0, 0, 0, 7, 11, 79
"d:\workstation\VSCode_for_c\c_programming\堆栈\链表实现堆栈正规方式.c", "C", 72, 0, 0, 0, 1, 15, 88
"d:\workstation\VSCode_for_c\c_programming\实验四、五 链表的实现和应用\list_header.h", "C++", 0, 490, 0, 0, 41, 27, 558
"d:\workstation\VSCode_for_c\c_programming\实验四、五 链表的实现和应用\main.c", "C", 20, 0, 0, 0, 0, 1, 21
"d:\workstation\VSCode_for_c\c_programming\实验四、五 链表的实现和应用\polyCalculator.c", "C", 171, 0, 0, 0, 0, 2, 173
"d:\workstation\VSCode_for_c\c_programming\简单链表实验作业\list_header.h", "C++", 0, 143, 0, 0, 2, 9, 154
"d:\workstation\VSCode_for_c\c_programming\简单链表实验作业\list_insertnddelet.c", "C", 74, 0, 0, 0, 0, 3, 77
"d:\workstation\VSCode_for_c\c_programming\队列\queue_api.h", "C++", 0, 8, 0, 0, 6, 1, 15
"d:\workstation\VSCode_for_c\c_programming\队列\静态数组实现队列.c", "C", 32, 0, 0, 0, 3, 4, 39
"d:\workstation\VSCode_for_c\c_programming\顺序表实验\sequenceList.c", "C", 106, 0, 0, 0, 0, 2, 108
"d:\workstation\VSCode_for_c\c_programming\顺序表实验\sequenceTable.h", "C++", 0, 174, 0, 0, 1, 2, 177
"Total", "-", 3242, 2411, 3, 26, 447, 316, 6445
